id,name,scope_type,identity_status,number_assignment_status,scope_note,scope_limit,company_references,source_refs,checked_financial_field_count,latest_checked_financial_field_count
firm-82,Aviation Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""02967706"", ""organisation_id"": ""legal-GB-02967706"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-327f72218c53ecae8ac6""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-327f72218c53ecae8ac6""}]",0,0
firm-71,BDO Economic Consulting,service_line,source_checked_scope_boundary,deliberately_unassigned_to_practice,Economic Consulting is a team within BDO UK; the host LLP is not a separate economics company.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC305127"", ""organisation_id"": ""legal-GB-OC305127"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""host legal context, not the entire catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Economic Consulting heading and dedicated-team opening"", ""source_id"": ""source-9b7cf058ec2b9483629c""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Economic Consulting heading and dedicated-team opening"", ""source_id"": ""source-9b7cf058ec2b9483629c""}]",0,0
firm-7,BRG UK Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""07245710"", ""organisation_id"": ""legal-GB-07245710"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-e53a126150bea6de7cc0""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-e53a126150bea6de7cc0""}]",4,4
firm-12,Baringa Partners LLP,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC303471"", ""organisation_id"": ""legal-GB-OC303471"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-6f9772fc051abe25e854""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-6f9772fc051abe25e854""}]",9,5
firm-41,Belmana Consultancy,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""08331277"", ""organisation_id"": ""legal-GB-08331277"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-3f523e816681e00a9988""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-3f523e816681e00a9988""}]",0,0
firm-27,BiGGAR Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""SC253093"", ""organisation_id"": ""legal-GB-SC253093"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-26e5372ebb6875c4e6d8""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-26e5372ebb6875c4e6d8""}]",0,0
firm-6,Brattle Group Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""03378171"", ""organisation_id"": ""legal-GB-03378171"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-d38fb39b824cb9c5a286""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-d38fb39b824cb9c5a286""}]",4,4
firm-94,Buttermere Consulting Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""12589870"", ""organisation_id"": ""legal-GB-12589870"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-e83cedca190cefd6e44f""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-e83cedca190cefd6e44f""}]",0,0
firm-76,CEPA (Cambridge Economic Policy Associates),catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""04077684"", ""organisation_id"": ""legal-GB-04077684"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-8ef7394984373701af3e""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-8ef7394984373701af3e""}]",0,0
firm-4,CRA International UK,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""04007726"", ""organisation_id"": ""legal-GB-04007726"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-01f45057e76fd43dd4be""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-01f45057e76fd43dd4be""}]",4,4
firm-47,Calverley Economic Advisors,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""10373577"", ""organisation_id"": ""legal-GB-10373577"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-f2547a161d74d4335f9d""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-f2547a161d74d4335f9d""}]",0,0
firm-16,Cambridge Econometrics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""01916825"", ""organisation_id"": ""legal-GB-01916825"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-eca4c14a83abed473c64""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-eca4c14a83abed473c64""}]",4,4
firm-18,Capital Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""02484735"", ""organisation_id"": ""legal-GB-02484735"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-3b1bf26e6010afc4b4ee""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-3b1bf26e6010afc4b4ee""}]",4,4
firm-93,Capital Economics Research Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""09242255"", ""organisation_id"": ""legal-GB-09242255"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-912264c624d012eccdbe""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-912264c624d012eccdbe""}]",0,0
firm-21,Cebr,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""02592404"", ""organisation_id"": ""legal-GB-02592404"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-46d68977124991e61e8c""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-46d68977124991e61e8c""}]",0,0
firm-26,Connected Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""07884615"", ""organisation_id"": ""legal-GB-07884615"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Visible DOM text, Registered office address block"", ""source_id"": ""source-1e1f83e62430e80e0bbf""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Visible DOM text, Registered office address block"", ""source_id"": ""source-1e1f83e62430e80e0bbf""}]",0,0
firm-46,Continuum Economics (4Cast),catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""02711701"", ""organisation_id"": ""legal-GB-02711701"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-67a94767c0d5d95debca""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-67a94767c0d5d95debca""}]",0,0
firm-8,Cornerstone Research UK,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""09174489"", ""organisation_id"": ""legal-GB-09174489"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-36eecf07811089e34627""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-36eecf07811089e34627""}]",5,5
firm-69,Deloitte Economic Consulting,service_line,source_checked_scope_boundary,deliberately_unassigned_to_practice,Economic Advisory is a Deloitte UK service line. Global member firms remain separate legal entities.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""OC303675"", ""organisation_id"": ""legal-GB-OC303675"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""host legal context, not the entire catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Services and Economic Advisory contact, lines442–548"", ""source_id"": ""source-c9940782b57fffef0d14""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Services and Economic Advisory contact, lines442–548"", ""source_id"": ""source-c9940782b57fffef0d14""}]",0,0
firm-53,Derrick Jones Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""09325261"", ""organisation_id"": ""legal-GB-09325261"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-533a0143cdf02762e980""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-533a0143cdf02762e980""}]",0,0
firm-62,DotEcon Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""03783016"", ""organisation_id"": ""legal-GB-03783016"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-3e79bbeab331683a2b7b""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Companies House overview: Registered office address block"", ""source_id"": ""source-3e79bbeab331683a2b7b""}]",0,0
firm-63,E.CA Economics,overseas_company_uk_establishment,source_checked_scope_boundary,deliberately_unassigned_single_uk_company_number,E.CA Economics has UK establishment BR021155 of overseas company FC036069. The establishment is not a separate incorporated legal person and is distinct from ECA Economics Ltd.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""FC036069"", ""organisation_id"": ""legal-GB-FC036069"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""host legal context, not the entire catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""UK establishment number and parent company, lines13–37"", ""source_id"": ""source-8166c06c4e4eddf3569c""}]}, {""establishment_number"": ""BR021155"", ""foreign_company_number"": ""FC036069"", ""organisation_id"": ""establishment-GB-BR021155"", ""register_jurisdiction"": ""GB"", ""relationship"": ""registered UK establishment, not a separate incorporated legal person"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""UK establishment number and parent company, lines13–37"", ""source_id"": ""source-8166c06c4e4eddf3569c""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""UK establishment number and parent company, lines13–37"", ""source_id"": ""source-8166c06c4e4eddf3569c""}]",0,0
firm-95,ECA Economics Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""07858218"", ""organisation_id"": ""legal-GB-07858218"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Visible DOM text, Registered office address block"", ""source_id"": ""source-cfc64e73a3eb4b577c85""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Visible DOM text, Registered office address block"", ""source_id"": ""source-cfc64e73a3eb4b577c85""}]",0,0
firm-78,EKOS Consulting (UK) Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""SC229257"", ""organisation_id"": ""legal-GB-SC229257"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-bcc2188e897b843e5f8c""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-bcc2188e897b843e5f8c""}]",3,3
firm-59,Econance Ltd,catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""11545550"", ""organisation_id"": ""legal-GB-11545550"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-b1206c004734c4afd968""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-b1206c004734c4afd968""}]",0,0
firm-60,Econic Partners (UK),catalogue_scope_linked_to_registered_entity,registry_identity_reference_checked,recorded_company_number_source_linked,Catalogue scope associated with the cited registered entity; the catalogue name may abbreviate a legal or business name.,"Identity and scope reference only. This does not establish an entire group boundary, current operating status, ownership, founding date or workforce.","[{""company_number"": ""16147541"", ""organisation_id"": ""legal-GB-16147541"", ""register_jurisdiction"": ""GB"", ""registered_name"": null, ""relationship"": ""registered entity associated with this catalogue scope"", ""source_refs"": [{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-a5f9c4c30ae7de76177d""}]}]","[{""checked_on"": ""2026-09-12"", ""locator"": ""Registered office address block"", ""source_id"": ""source-a5f9c4c30ae7de76177d""}]",0,0
