id,firm_id,legal_entity_id,year_end,period_months,currency,metric,value,value_exact,missingness,accounting_basis,metric_basis,estimated,is_latest,source_refs
fin-10c95e89bc0c07b68ce5,firm-18,legal-GB-02484735,2024-12-31,12,GBP,operating_profit,4340824.0,4340824,value,Company entity; turnover; parent-group/consolidated figures are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 11"", ""source_id"": ""source-9a85b9ce10d62aef0cc0""}]"
fin-6f59817ee3d938bab0ad,firm-18,legal-GB-02484735,2024-12-31,12,GBP,profit_after_tax,3689142.0,3689142,value,Company entity; turnover; parent-group/consolidated figures are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 11"", ""source_id"": ""source-9a85b9ce10d62aef0cc0""}]"
fin-6618a9c9bd9c13a96d5f,firm-18,legal-GB-02484735,2024-12-31,12,GBP,profit_before_tax,4317147.0,4317147,value,Company entity; turnover; parent-group/consolidated figures are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 11"", ""source_id"": ""source-9a85b9ce10d62aef0cc0""}]"
fin-3a416d97fe4ccb5bfffa,firm-18,legal-GB-02484735,2024-12-31,12,GBP,turnover,21972609.0,21972609,value,Company entity; turnover; parent-group/consolidated figures are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 14 / printed page 11"", ""source_id"": ""source-9a85b9ce10d62aef0cc0""}]"
fin-4bd0115df02352d4b177,firm-2,legal-GB-03752719,2025-04-30,12,GBP,operating_profit,1441210.0,1441210,value,Company entity including European offices; separate from the independently owned Australian firm,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 22 / printed page 22"", ""source_id"": ""source-a63df600b4a97f9c24a5""}]"
fin-056d4c417f6aa67153ea,firm-2,legal-GB-03752719,2025-04-30,12,GBP,profit_after_tax,238827.0,238827,value,Company entity including European offices; separate from the independently owned Australian firm,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 22 / printed page 22"", ""source_id"": ""source-a63df600b4a97f9c24a5""}]"
fin-9ac3785a365040375d57,firm-2,legal-GB-03752719,2025-04-30,12,GBP,profit_before_tax,1354454.0,1354454,value,Company entity including European offices; separate from the independently owned Australian firm,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 22 / printed page 22"", ""source_id"": ""source-a63df600b4a97f9c24a5""}]"
fin-91dcc6f00e551f06757f,firm-2,legal-GB-03752719,2025-04-30,12,GBP,turnover,97073286.0,97073286,value,Company entity including European offices; separate from the independently owned Australian firm,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 22 / printed page 22"", ""source_id"": ""source-a63df600b4a97f9c24a5""}]"
fin-6a26299c2646c305d750,firm-3,legal-GB-OC392464,2024-04-30,12,GBP,highest_paid_member,2027212.0,2027212,value,Consolidated group; turnover; operating profit before member remuneration,disclosed entitlement; not salary or cash,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-86e16a145c0475a7834a,firm-3,legal-GB-OC392464,2024-04-30,12,GBP,num_members,34.0,34,value,Consolidated group; turnover; operating profit before member remuneration,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-ca28955023992a976952,firm-3,legal-GB-OC392464,2024-04-30,12,GBP,num_staff,223.0,223,value,Consolidated group; turnover; operating profit before member remuneration,Average group employees; separate from LLP member count.,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-76d5b33fa9b538248b0c,firm-3,legal-GB-OC392464,2024-04-30,12,GBP,operating_profit,24131072.0,24131072,value,Consolidated group; turnover; operating profit before member remuneration,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-402428b0127fb6fe9b80,firm-3,legal-GB-OC392464,2024-04-30,12,GBP,profit_to_members,16427748.0,16427748,value,Consolidated group; turnover; operating profit before member remuneration,Residual after member remuneration expense and corporation tax,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-2c0d29a82cdf41fc9233,firm-3,legal-GB-OC392464,2024-04-30,12,GBP,turnover,60808661.0,60808661,value,Consolidated group; turnover; operating profit before member remuneration,,False,False,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-c7a35f00a47abde5ef52,firm-3,legal-GB-OC392464,2025-04-30,12,GBP,highest_paid_member,2093956.0,2093956,value,Consolidated group; turnover; operating profit before member remuneration,disclosed entitlement; not salary or cash,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-d42610c608c4263273b3,firm-3,legal-GB-OC392464,2025-04-30,12,GBP,num_members,38.0,38,value,Consolidated group; turnover; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-995466db3b1c4b208544,firm-3,legal-GB-OC392464,2025-04-30,12,GBP,num_staff,274.0,274,value,Consolidated group; turnover; operating profit before member remuneration,Average group employees; separate from LLP member count.,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-12467aa974823058c1fc,firm-3,legal-GB-OC392464,2025-04-30,12,GBP,operating_profit,27156134.0,27156134,value,Consolidated group; turnover; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-73066748c57b21c5b652,firm-3,legal-GB-OC392464,2025-04-30,12,GBP,profit_to_members,18700697.0,18700697,value,Consolidated group; turnover; operating profit before member remuneration,Residual after member remuneration expense and corporation tax,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-caa54f66a1088acb3ded,firm-3,legal-GB-OC392464,2025-04-30,12,GBP,turnover,70692013.0,70692013,value,Consolidated group; turnover; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 11 / printed 9, income; PDF 21 / printed 19, notes 5 and 6"", ""source_id"": ""source-83c2d3df338b32f767a6""}]"
fin-d1c30d9a2dc2ae614a83,firm-30,legal-GB-01701564,2025-03-31,12,GBP,operating_profit,226131.0,226131,value,Company entity; consolidated SQW Group financial statements are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 8"", ""source_id"": ""source-754c02caac74d57c1a47""}]"
fin-f694ec0e1c3dd5f7e8d2,firm-30,legal-GB-01701564,2025-03-31,12,GBP,profit_after_tax,164617.0,164617,value,Company entity; consolidated SQW Group financial statements are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 8"", ""source_id"": ""source-754c02caac74d57c1a47""}]"
fin-2c498b3c700104adae87,firm-30,legal-GB-01701564,2025-03-31,12,GBP,profit_before_tax,228629.0,228629,value,Company entity; consolidated SQW Group financial statements are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 8"", ""source_id"": ""source-754c02caac74d57c1a47""}]"
fin-199fe14c36e63164103c,firm-30,legal-GB-01701564,2025-03-31,12,GBP,turnover,5691694.0,5691694,value,Company entity; consolidated SQW Group financial statements are a separate perimeter,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 12 / printed page 8"", ""source_id"": ""source-754c02caac74d57c1a47""}]"
fin-2d5e4a7f77483f5239e7,firm-31,legal-GB-01883830,2025-03-31,12,GBP,operating_profit,2563000.0,2563000,value,Company entity with foreign branches; statement £000 multiplied by1000,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 18 / printed page 16"", ""source_id"": ""source-ab2d0d2ceffe5f0e2b89""}]"
fin-dc80b69e0b953c25e832,firm-31,legal-GB-01883830,2025-03-31,12,GBP,profit_after_tax,1684000.0,1684000,value,Company entity with foreign branches; statement £000 multiplied by1000,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 18 / printed page 16"", ""source_id"": ""source-ab2d0d2ceffe5f0e2b89""}]"
fin-37a2c0e3a3f6f0fd0751,firm-31,legal-GB-01883830,2025-03-31,12,GBP,profit_before_tax,2560000.0,2560000,value,Company entity with foreign branches; statement £000 multiplied by1000,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 18 / printed page 16"", ""source_id"": ""source-ab2d0d2ceffe5f0e2b89""}]"
fin-2a8989693ab03a8a1535,firm-31,legal-GB-01883830,2025-03-31,12,GBP,turnover,39673000.0,39673000,value,Company entity with foreign branches; statement £000 multiplied by1000,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income statement PDF page 18 / printed page 16"", ""source_id"": ""source-ab2d0d2ceffe5f0e2b89""}]"
fin-3c36ab2957ca76c08df6,firm-32,legal-GB-01650169,2025-12-31,12,GBP,num_staff,155.0,155,value,Average monthly employees after staff recharged in and out. Company accounts including an Italy branch; revenue by operating unit on page27.,Average monthly employees after staff recharged in and out. Company accounts including an Italy branch; revenue by operating unit on page27.,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income: PDF page 15, printed page 15; current and comparative columns; employees: PDF page 29, printed page 29"", ""source_id"": ""source-db395778f89db0f9f5f5""}]"
fin-4789ac88dc022f6d49b4,firm-32,legal-GB-01650169,2025-12-31,12,GBP,operating_profit,1470164.0,1470164,value,Average monthly employees after staff recharged in and out. Company accounts including an Italy branch; revenue by operating unit on page27.,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income: PDF page 15, printed page 15; current and comparative columns; employees: PDF page 29, printed page 29"", ""source_id"": ""source-db395778f89db0f9f5f5""}]"
fin-e336d7e96865f8d65728,firm-32,legal-GB-01650169,2025-12-31,12,GBP,profit_after_tax,1142874.0,1142874,value,Average monthly employees after staff recharged in and out. Company accounts including an Italy branch; revenue by operating unit on page27.,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income: PDF page 15, printed page 15; current and comparative columns; employees: PDF page 29, printed page 29"", ""source_id"": ""source-db395778f89db0f9f5f5""}]"
fin-5ced6fe1afdfebdba267,firm-32,legal-GB-01650169,2025-12-31,12,GBP,profit_before_tax,1543308.0,1543308,value,Average monthly employees after staff recharged in and out. Company accounts including an Italy branch; revenue by operating unit on page27.,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income: PDF page 15, printed page 15; current and comparative columns; employees: PDF page 29, printed page 29"", ""source_id"": ""source-db395778f89db0f9f5f5""}]"
fin-8b4d5ebe63f8afd32af5,firm-32,legal-GB-01650169,2025-12-31,12,GBP,turnover,21994142.0,21994142,value,Average monthly employees after staff recharged in and out. Company accounts including an Italy branch; revenue by operating unit on page27.,,False,True,"[{""checked_on"": ""2026-09-12"", ""locator"": ""Income: PDF page 15, printed page 15; current and comparative columns; employees: PDF page 29, printed page 29"", ""source_id"": ""source-db395778f89db0f9f5f5""}]"
fin-ff28ff0415c985da3eae,firm-35,legal-GB-OC385173,2024-12-31,12,GBP,num_members,2.0,2,value,Consolidated group; turnover; operating profit before member remuneration,,False,True,"[{""checked_on"": ""2026-09-11"", ""locator"": ""PDF 10 / printed 7, income; PDF 24 / printed 21, notes 8 and 9"", ""source_id"": ""source-95c628b3bda84dc1b2af""}]"
