id,organisation_id,organisation_name,firm_id,city,observed_on,observation_type,limit,source_refs
office-d1a620a96b8365d38461,brand-ab874965c9dde7ac651f,CRA,,Dallas,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-fbbaa551ec813e79e61d,brand-ab874965c9dde7ac651f,CRA,,Düsseldorf,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-507111ead9ae233bdb2a,brand-ab874965c9dde7ac651f,CRA,,Houston,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-e2d1409d4a47b9ed6c8e,brand-ab874965c9dde7ac651f,CRA,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-970d55561c4bf62034a2,brand-ab874965c9dde7ac651f,CRA,,Los Angeles,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-64e360a34f4495829df3,brand-ab874965c9dde7ac651f,CRA,,Munich,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-59f0601e0cf4cca8c114,brand-ab874965c9dde7ac651f,CRA,,New York,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-bc82b6f30ecea8946dfd,brand-ab874965c9dde7ac651f,CRA,,Oakland,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-7023d86827a38ce14b98,brand-ab874965c9dde7ac651f,CRA,,Paris,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-67edd62c0bfd779332bb,brand-ab874965c9dde7ac651f,CRA,,Salt Lake City,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-d1203760ca84bb150406,brand-ab874965c9dde7ac651f,CRA,,Summit,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-7bd30590fd2d15a02985,brand-ab874965c9dde7ac651f,CRA,,Sydney,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-cc8c8ca9d9889e9f290a,brand-ab874965c9dde7ac651f,CRA,,Tallahassee,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-2d23dbbb133dc04a93ea,brand-ab874965c9dde7ac651f,CRA,,Toronto,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-3dc29f61062ecb1b420a,brand-ab874965c9dde7ac651f,CRA,,Washington DC,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-1cac62473912eb2793cc,brand-ab874965c9dde7ac651f,CRA,,Zurich,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-d76b96d4bf4cf37b171f""}]"
office-d1708d06e31b30234780,brand-d4d3fb41b82bea2ab0f9,Cambridge Econometrics,,Brussels,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-544964c35b0aa197d3cd""}]"
office-52ed36696974c83f0a8a,brand-d4d3fb41b82bea2ab0f9,Cambridge Econometrics,,Budapest,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-544964c35b0aa197d3cd""}]"
office-8241d3b71b12fc5a9f04,brand-d4d3fb41b82bea2ab0f9,Cambridge Econometrics,,Cambridge,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-544964c35b0aa197d3cd""}]"
office-ff7bd5d7358bb7e60415,brand-d4d3fb41b82bea2ab0f9,Cambridge Econometrics,,Northampton MA,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-544964c35b0aa197d3cd""}]"
office-5d883d7b90e97c9ea34f,brand-06592b63bc49211d7b1c,Capital Economics,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-51f21fef1e8c1e35f010""}]"
office-44ba67566e0fe5afceb8,brand-06592b63bc49211d7b1c,Capital Economics,,Singapore,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-51f21fef1e8c1e35f010""}]"
office-16e3b5c54dbd6578116a,brand-06592b63bc49211d7b1c,Capital Economics,,Toronto,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-51f21fef1e8c1e35f010""}]"
office-d99f865db6ec3bc1ed13,brand-d35886e8a667371cc05f,Economist Intelligence Unit,,Dubai,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-f5f51664510b4735b657""}]"
office-48a651d953b603c7b5ce,brand-d35886e8a667371cc05f,Economist Intelligence Unit,,Hong Kong,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-f5f51664510b4735b657""}]"
office-5b8f406b71896195f752,brand-d35886e8a667371cc05f,Economist Intelligence Unit,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-f5f51664510b4735b657""}]"
office-8e04a101cba427392ef2,brand-d35886e8a667371cc05f,Economist Intelligence Unit,,New York,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-f5f51664510b4735b657""}]"
office-054d05122de2d85371ce,brand-c3328e267cf6da135e0a,Frontier Economics,,Amsterdam,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-93180d2d372f818c1f8f,brand-c3328e267cf6da135e0a,Frontier Economics,,Berlin,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-be96b95cab5dce56e4e3,brand-c3328e267cf6da135e0a,Frontier Economics,,Brussels,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-99064ef66467dd4dfd3e,brand-c3328e267cf6da135e0a,Frontier Economics,,Cologne,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-56cd021fed13c29327ac,brand-c3328e267cf6da135e0a,Frontier Economics,,Dublin,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-440b8fccc8203537b903,brand-c3328e267cf6da135e0a,Frontier Economics,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-f34633d75130cb71c1a2,brand-c3328e267cf6da135e0a,Frontier Economics,,Madrid,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-155c4f4fb22f7a6aa38c,brand-c3328e267cf6da135e0a,Frontier Economics,,Paris,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-f1e3160326ab9375a832,brand-c3328e267cf6da135e0a,Frontier Economics,,Prague,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-5e049b03c670a2271558""}]"
office-abacb1311c8e0e66c002,brand-138991c77bdae120e791,NERA,,Auckland,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-1e614d666215931b7ce9,brand-138991c77bdae120e791,NERA,,Berlin,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-a45ac9fb0217d5e9a706,brand-138991c77bdae120e791,NERA,,Boston,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-444ab6e2053d2cecbd06,brand-138991c77bdae120e791,NERA,,Chicago,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-a05b8b76eaa215cc5865,brand-138991c77bdae120e791,NERA,,Frankfurt,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-76e91d110c98080036a6,brand-138991c77bdae120e791,NERA,,Geneva,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-27da5fac8592ef6078e8,brand-138991c77bdae120e791,NERA,,Houston,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-6aea98d565d7706d64c5,brand-138991c77bdae120e791,NERA,,London,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-d75890928292a4d4b899,brand-138991c77bdae120e791,NERA,,Los Angeles,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-795f8bb082be72850022,brand-138991c77bdae120e791,NERA,,Madrid,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-453c79c516aff1ef0b7f,brand-138991c77bdae120e791,NERA,,Mexico City,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-dbc9562bfac8ea7e57bd,brand-138991c77bdae120e791,NERA,,Miami,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-757f6e3573c8d7feafd8,brand-138991c77bdae120e791,NERA,,Milan,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-68130ec14c34f3163ff1,brand-138991c77bdae120e791,NERA,,New York,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-5f55586c2de09c63e62b,brand-138991c77bdae120e791,NERA,,Paris,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-49506f9df710d7879b6c,brand-138991c77bdae120e791,NERA,,Philadelphia,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-0650674e462c5f8fb19f,brand-138991c77bdae120e791,NERA,,San Francisco,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-b7e1ad71d515c26e43cf,brand-138991c77bdae120e791,NERA,,Tokyo,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-afd54f7cd18868fe57eb,brand-138991c77bdae120e791,NERA,,Toronto,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
office-01e4dc7b52d5e90663a3,brand-138991c77bdae120e791,NERA,,Washington DC,2026-09-12,city named on firm office/contact page,"Firm-published location; not verified headcount, economics-only staffing, legal headquarters or exhaustive group footprint.","[{""checked_on"": ""2026-09-12"", ""locator"": ""Locations / contact offices; named city heading or address"", ""source_id"": ""source-7b75292d94ef79992e83""}]"
